argn: 2
-------------------- beg ---------------------
     0 io_demo(33657):->SystemTap[1]
  1513 io_demo(33657):       <-uct_ib_device_select_gid[1]cost=180us 
  1515 io_demo(33657):      <-uct_ib_iface_init_roce_gid_info[1]cost=186us 
  1517 io_demo(33657):      ->uct_ib_device_query_gid[1]
  1520 io_demo(33657):       ->uct_ib_device_name[6]
  1523 io_demo(33657):        ->ibv_get_device_name[6]
  1526 io_demo(33657):        <-ibv_get_device_name[6]cost=2us 
  1527 io_demo(33657):       <-uct_ib_device_name[6]cost=6us 
  1529 io_demo(33657):       ->uct_ib_device_query_gid_info[5]
  1532 io_demo(33657):        ->ibv_query_gid[5]
  1535 io_demo(33657):        <-ibv_query_gid[5]cost=3us 
  1543 io_demo(33657):       <-uct_ib_device_query_gid_info[5]cost=13us 
  1546 io_demo(33657):       ->uct_ib_device_is_gid_raw_empty[1]
  1550 io_demo(33657):       <-uct_ib_device_is_gid_raw_empty[1]cost=3us 
  1552 io_demo(33657):      <-uct_ib_device_query_gid[1]cost=33us 
  1554 io_demo(33657):      ->uct_ib_iface_is_roce_v2[1]
  1557 io_demo(33657):       ->uct_ib_iface_is_roce[3]
  1560 io_demo(33657):        ->uct_ib_device_is_port_roce[3]
  1563 io_demo(33657):        <-uct_ib_device_is_port_roce[3]cost=2us 
  1565 io_demo(33657):       <-uct_ib_iface_is_roce[3]cost=7us 
  1567 io_demo(33657):      <-uct_ib_iface_is_roce_v2[1]cost=12us 
  1569 io_demo(33657):      ->uct_ib_iface_is_roce[4]
  1571 io_demo(33657):       ->uct_ib_device_is_port_roce[4]
  1575 io_demo(33657):       <-uct_ib_device_is_port_roce[4]cost=2us 
  1576 io_demo(33657):      <-uct_ib_iface_is_roce[4]cost=7us 
  1580 io_demo(33657):      ->ibv_create_comp_channel[1]
  1586 io_demo(33657):      <-ibv_create_comp_channel[1]cost=5us 
  1591 io_demo(33657):      ->uct_rc_mlx5_iface_common_create_cq[1]
  1596 io_demo(33657):       ->uct_ib_mlx5_devx_create_cq[1]
  1601 io_demo(33657):        ->uct_ib_get_cqe_size[1]
  1605 io_demo(33657):        <-uct_ib_get_cqe_size[1]cost=3us 
  1609 io_demo(33657):        ->uct_ib_mlx5_add_page[1]
  1614 io_demo(33657):         ->uct_ib_mlx5_md_buf_alloc[1]
  1622 io_demo(33657):          ->mlx5dv_devx_umem_reg[1]
  1626 io_demo(33657):           ->mlx5_get_dv_ops[1]
  1629 io_demo(33657):           <-mlx5_get_dv_ops[1]cost=2us 
  1632 io_demo(33657):           ->ibv_dontfork_range[1]
  1636 io_demo(33657):            ->ibv_madvise_range.part.6[1]
  1640 io_demo(33657):            <-ibv_madvise_range.part.6[1]cost=4us 
  1642 io_demo(33657):           <-ibv_dontfork_range[1]cost=8us 
  1861 io_demo(33657):          <-mlx5dv_devx_umem_reg[1]cost=238us 
  1864 io_demo(33657):         <-uct_ib_mlx5_md_buf_alloc[1]cost=250us 
  1866 io_demo(33657):        <-uct_ib_mlx5_add_page[1]cost=255us 
  1869 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[1]
  1872 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[1]cost=3us 
  1874 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[2]
  1877 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[2]cost=2us 
  1879 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[3]
  1882 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[3]cost=2us 
  1883 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[4]
  1886 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[4]cost=2us 
  1888 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[5]
  1890 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[5]cost=2us 
  1892 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[6]
  1894 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[6]cost=2us 
  1896 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[7]
  1899 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[7]cost=2us 
  1900 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[8]
  1903 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[8]cost=2us 
  1904 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[9]
  1907 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[9]cost=2us 
  1908 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[10]
  1911 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[10]cost=2us 
  1913 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[11]
  1916 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[11]cost=2us 
  1917 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[12]
  1920 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[12]cost=2us 
  1921 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[13]
  1924 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[13]cost=2us 
  1925 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[14]
  1928 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[14]cost=2us 
  1930 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[15]
  1932 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[15]cost=2us 
  1934 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[16]
  1936 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[16]cost=2us 
  1938 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[17]
  1941 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[17]cost=2us 
  1942 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[18]
  1945 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[18]cost=2us 
  1946 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[19]
  1949 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[19]cost=2us 
  1950 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[20]
  1953 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[20]cost=2us 
  1955 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[21]
  1957 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[21]cost=2us 
  1959 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[22]
  1961 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[22]cost=2us 
  1963 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[23]
  1966 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[23]cost=2us 
  1967 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[24]
  1970 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[24]cost=2us 
  1971 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[25]
  1974 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[25]cost=2us 
  1975 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[26]
  1978 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[26]cost=2us 
  1980 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[27]
  1982 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[27]cost=2us 
  1984 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[28]
  1986 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[28]cost=2us 
  1988 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[29]
  1991 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[29]cost=2us 
  1992 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[30]
  1995 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[30]cost=2us 
  1996 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[31]
  1999 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[31]cost=2us 
  2001 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[32]
  2003 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[32]cost=2us 
  2005 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[33]
  2008 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[33]cost=2us 
  2009 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[34]
  2012 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[34]cost=2us 
  2014 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[35]
  2016 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[35]cost=2us 
  2018 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[36]
  2020 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[36]cost=2us 
  2022 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[37]
  2025 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[37]cost=2us 
  2026 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[38]
  2029 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[38]cost=2us 
  2030 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[39]
  2033 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[39]cost=2us 
  2035 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[40]
  2037 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[40]cost=2us 
  2039 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[41]
  2041 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[41]cost=2us 
  2043 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[42]
  2046 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[42]cost=2us 
  2047 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[43]
  2050 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[43]cost=2us 
  2051 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[44]
  2054 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[44]cost=2us 
  2056 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[45]
  2058 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[45]cost=2us 
  2060 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[46]
  2062 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[46]cost=2us 
  2064 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[47]
  2067 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[47]cost=2us 
  2068 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[48]
  2071 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[48]cost=2us 
  2072 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[49]
  2075 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[49]cost=2us 
  2076 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[50]
  2079 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[50]cost=2us 
  2081 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[51]
  2083 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[51]cost=2us 
  2085 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[52]
  2088 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[52]cost=2us 
  2089 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[53]
  2092 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[53]cost=2us 
  2093 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[54]
  2096 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[54]cost=2us 
  2097 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[55]
  2100 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[55]cost=2us 
  2102 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[56]
  2104 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[56]cost=2us 
  2106 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[57]
  2109 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[57]cost=2us 
  2110 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[58]
  2113 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[58]cost=2us 
  2114 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[59]
  2117 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[59]cost=2us 
  2118 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[60]
  2121 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[60]cost=2us 
  2123 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[61]
  2125 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[61]cost=2us 
  2127 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[62]
  2129 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[62]cost=2us 
  2131 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[63]
  2137 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[63]cost=2us 
  2139 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[64]
  2141 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[64]cost=2us 
  2143 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[65]
  2146 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[65]cost=3us 
  2147 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[66]
  2150 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[66]cost=2us 
  2152 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[67]
  2154 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[67]cost=2us 
  2156 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[68]
  2159 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[68]cost=2us 
  2160 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[69]
  2163 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[69]cost=2us 
  2164 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[70]
  2167 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[70]cost=2us 
  2168 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[71]
  2171 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[71]cost=2us 
  2173 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[72]
  2175 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[72]cost=2us 
  2177 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[73]
  2179 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[73]cost=2us 
  2181 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[74]
  2184 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[74]cost=2us 
